run,roc_auc,accuracy,hidden_size,L_layers,L_cycles,lr,checkpoint,config
"arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=256,lr=0.0003",0.95067517,0.88415,256,2,2,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=256,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=256,lr=0.0003/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=256,lr=0.0005",0.94520216,0.881,256,2,2,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=256,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=256,lr=0.0005/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=384,lr=0.0003",0.95125499,0.88665,384,2,2,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=384,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=384,lr=0.0003/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=384,lr=0.0005",0.94047928,0.87695,384,2,2,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=384,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=2,arch.hidden_size=384,lr=0.0005/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=256,lr=0.0003",0.94610644,0.88315,256,3,2,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=256,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=256,lr=0.0003/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=256,lr=0.0005",0.52985243,0.6767,256,3,2,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=256,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=256,lr=0.0005/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=384,lr=0.0003",0.50511017,0.5,384,3,2,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=384,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=384,lr=0.0003/all_config.yaml"
"arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=384,lr=0.0005",0.50511017,0.5,384,3,2,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=384,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=2,arch.L_layers=3,arch.hidden_size=384,lr=0.0005/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=256,lr=0.0003",0.94784893,0.87885,256,2,3,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=256,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=256,lr=0.0003/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=256,lr=0.0005",0.94437775,0.88105,256,2,3,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=256,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=256,lr=0.0005/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=384,lr=0.0003",0.94242488,0.87815,384,2,3,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=384,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=384,lr=0.0003/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=384,lr=0.0005",0.69192261,0.61975,384,2,3,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=384,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=2,arch.hidden_size=384,lr=0.0005/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=256,lr=0.0003",0.94624063,0.88185,256,3,3,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=256,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=256,lr=0.0003/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=256,lr=0.0005",0.50384209,0.5,256,3,3,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=256,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=256,lr=0.0005/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=384,lr=0.0003",0.50511017,0.5,384,3,3,0.0003,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=384,lr=0.0003/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=384,lr=0.0003/all_config.yaml"
"arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=384,lr=0.0005",0.50511017,0.5,384,3,3,0.0005,"checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=384,lr=0.0005/step_9372","checkpoints/Clinvar_trm-ACT-torch/arch.L_cycles=3,arch.L_layers=3,arch.hidden_size=384,lr=0.0005/all_config.yaml"
